experiment_name,split_strategy,n_features,n_seeds,test_bal_acc_mean,test_bal_acc_std,test_f1_mean,test_f1_std,test_kappa_mean,test_kappa_std,timestamp
pose,lopo,46,10,0.3520224466891133,0.1047032441327754,0.2964944723045248,0.1112662666032448,0.0277872203499502,0.1565113881118258,2025-10-17T15:24:05.811074
performance,lopo,10,10,0.7311627906976743,0.0980761301580696,0.7179891445644969,0.1178398426068885,0.5967441860465116,0.1471141952371043,2025-10-17T15:26:55.768563
eye,lopo,10,10,0.4024757284059609,0.1081823843326529,0.3747697761467927,0.111899051911934,0.0989426331161147,0.182567191012197,2025-10-17T15:29:48.255061
gsr,lopo,5,10,0.3532196969696969,0.0840859819138541,0.3297428496653461,0.0839053773413492,0.0278339833265185,0.1200529515851325,2025-10-17T15:32:20.388083
ecg,lopo,13,10,0.395954415954416,0.1505302490933447,0.3596991074628823,0.1638883601015097,0.0579824561403508,0.1595706316045694,2025-10-17T15:36:25.623353
pose_perf,lopo,95,10,0.6834766267324407,0.1086667198560564,0.6614907213457026,0.1280609473939109,0.5262744925613869,0.1626755080001209,2025-10-17T15:42:48.235525
pose_eye,lopo,40,10,0.4155435133342109,0.1513737821713895,0.3659514509991816,0.1523390859076024,0.1204269742742123,0.2258459068235056,2025-10-17T15:50:46.228750
pose_gsr,lopo,48,10,0.3628939393939394,0.1151269791923627,0.2991846513484866,0.1204394830222741,0.0439746360126455,0.1730349018098173,2025-10-17T15:57:16.084196
pose_ecg,lopo,33,10,0.3581233386496544,0.1246581753027221,0.293270348165741,0.1301670327057224,0.0456306081496975,0.1774270639618773,2025-10-17T16:04:38.965689
perf_eye,lopo,16,10,0.7007822926427578,0.1267743442240391,0.6826950833426717,0.1542377554175998,0.5482423574353408,0.194867074807815,2025-10-17T16:07:55.286297
perf_gsr,lopo,15,10,0.7538232323232323,0.1124028502952739,0.7350733239684206,0.1377846279264794,0.6286902304159498,0.1679896047755165,2025-10-17T16:10:49.307920
perf_ecg,lopo,20,10,0.7085964912280702,0.1309100826156342,0.6937699633655259,0.1546846544042573,0.5610526315789475,0.2013782917155397,2025-10-17T16:14:58.185578
eye_gsr,lopo,12,10,0.3948925518925518,0.114238145753038,0.3488627904998293,0.1165899984509904,0.0869922476881351,0.1826792401943083,2025-10-17T16:17:34.391299
eye_ecg,lopo,20,10,0.4033439367649893,0.1323808277685156,0.3642871067349943,0.1474248872816908,0.0789757572468076,0.1760080981708718,2025-10-17T16:20:28.437070
gsr_ecg,lopo,13,10,0.3920760233918128,0.1002380120641433,0.3423416258634446,0.1109497694806797,0.0905210666906878,0.1463408178884049,2025-10-17T16:23:49.645503
pose_perf_eye,lopo,156,10,0.6830234106978292,0.1095706857082303,0.6608033684100719,0.1337824126711127,0.5206842960474378,0.1733806863180667,2025-10-17T16:28:05.250573
pose_perf_gsr,lopo,120,10,0.674320707070707,0.112558033108774,0.644308223183509,0.1340589244576297,0.5094175003257876,0.1669035656184653,2025-10-17T16:31:36.953963
pose_perf_ecg,lopo,65,10,0.6539181286549708,0.1541910849567959,0.62572439847238,0.1730244253390634,0.4866666666666666,0.2154818610287938,2025-10-17T16:36:43.260565
pose_eye_gsr,lopo,79,10,0.401574814074814,0.1187629530447297,0.3397106011977396,0.1301579661362677,0.0974136665948193,0.1839143928374611,2025-10-17T16:40:36.060729
pose_eye_ecg,lopo,125,10,0.4052522185416922,0.1342742828449441,0.3407923015680877,0.1360597586537552,0.1075104841307318,0.1838153511073984,2025-10-17T16:44:37.117648
pose_gsr_ecg,lopo,52,10,0.3653322700691122,0.1063589064779114,0.291661878339078,0.1181775487370517,0.0546391879876714,0.1547580970134423,2025-10-17T16:50:42.197659
perf_eye_gsr,lopo,20,10,0.7264188034188035,0.1195532734659165,0.7065751111624621,0.1489500967605987,0.5842115133804,0.1847902419804975,2025-10-17T16:52:36.271418
perf_eye_ecg,lopo,23,10,0.6855206927575349,0.1539317699993536,0.6705663785630624,0.1710395497084092,0.5326828041626911,0.21102013846738,2025-10-17T16:55:21.846895
perf_gsr_ecg,lopo,17,10,0.6947660818713451,0.1270934561897479,0.6772941129812687,0.1516978546971265,0.5358025821632705,0.1988879498136342,2025-10-17T16:58:52.158874
eye_gsr_ecg,lopo,21,10,0.3958481138744296,0.108251723703469,0.3474974377984468,0.1121634831846759,0.0782344794901928,0.1580733983122142,2025-10-17T17:01:55.125851
pose_perf_eye_gsr,lopo,67,10,0.6862106365856366,0.111727612453952,0.659240278496155,0.1380580311114201,0.52259074386296,0.1735180967021034,2025-10-17T17:06:12.669955
pose_perf_eye_ecg,lopo,68,10,0.6653841334104493,0.1361783258018651,0.6410324753002744,0.1516095544651705,0.4976267792192927,0.1966619077324473,2025-10-17T17:10:41.539195
pose_perf_gsr_ecg,lopo,103,10,0.6513450292397662,0.1611750226127796,0.6205483587888289,0.1782990247698329,0.4841919917407614,0.2045416605530711,2025-10-17T17:19:57.239649
pose_eye_gsr_ecg,lopo,127,10,0.3979174188384713,0.1315155211597286,0.3298709283481741,0.1333362351748458,0.0943700489177897,0.1935334283377155,2025-10-17T17:24:28.661052
perf_eye_gsr_ecg,lopo,24,10,0.67805330634278,0.1536445012396793,0.6611678908156118,0.1707136222576187,0.5189752144595411,0.2107117128595007,2025-10-17T17:27:15.606908
all_modalities,lopo,68,10,0.6584699511015301,0.14464043090925027,0.63238554267164,0.15971700001232692,0.48606695018409785,0.2052047435558139,2025-10-17T17:32:29.344667
