experiment_name,split_strategy,n_features,n_seeds,test_bal_acc_mean,test_bal_acc_std,test_f1_mean,test_f1_std,test_kappa_mean,test_kappa_std,timestamp
pose,lopo,297,3,0.3581743359521137,0.1071427992596311,0.2968854996623969,0.1026576653169357,0.0373539214317618,0.1608170106806343,2025-10-17T09:56:45.591274
performance,lopo,10,3,0.7293712316968131,0.09764820709485,0.7168651119743181,0.1167278695902832,0.5940568475452196,0.1464723106422751,2025-10-17T09:57:16.426083
eye,lopo,11,3,0.3832885891025426,0.1209736875554404,0.3494842792383452,0.1283858007175784,0.0731798114374954,0.1845269347584376,2025-10-17T09:57:48.242654
gsr,lopo,6,3,0.3509595959595959,0.0834933125696933,0.3266222306028942,0.0839804864326888,0.0247556439872556,0.1210819930473662,2025-10-17T09:58:17.434353
ecg,lopo,90,3,0.3785375118708452,0.1497553644591872,0.3420243363007798,0.1649670425736538,0.0345029239766081,0.159428188134135,2025-10-17T09:58:53.265730
pose_perf,lopo,307,3,0.6474982381959127,0.1147418280126508,0.6163719121611652,0.138448006274056,0.4723649819715892,0.1715524471746104,2025-10-17T10:00:02.463722
pose_eye,lopo,308,3,0.4018780530408437,0.1347944156001809,0.3387461650653175,0.1383939516884381,0.0968299506360365,0.2013418528191123,2025-10-17T10:01:16.801419
pose_gsr,lopo,303,3,0.3686363636363636,0.1059486163420506,0.2998342570399996,0.1119308552147569,0.0531952173349416,0.1599813652715463,2025-10-17T10:02:35.389587
pose_ecg,lopo,387,3,0.3421761474393053,0.1337758495158935,0.2727244806321837,0.1338701234604893,0.0247656190950179,0.1864003161479481,2025-10-17T10:03:55.033380
perf_eye,lopo,21,3,0.7029299296741157,0.1251090605292918,0.6862934713317184,0.149377089415755,0.5519667386579369,0.192058421318156,2025-10-17T10:04:26.559628
perf_gsr,lopo,16,3,0.7793097643097643,0.1111522544489193,0.7630924212019206,0.1338633188362152,0.6675037759406397,0.1662161248528169,2025-10-17T10:04:55.499237
perf_ecg,lopo,100,3,0.6709551656920079,0.1340613157252898,0.6502602231516023,0.1590575267468193,0.5081871345029239,0.1961879654514093,2025-10-17T10:05:32.873335
eye_gsr,lopo,17,3,0.3885826210826211,0.1194466526044433,0.3391546573487798,0.117449111717323,0.0738542551644637,0.187445393154111,2025-10-17T10:06:02.980924
eye_ecg,lopo,101,3,0.3850652271704903,0.1207345483341661,0.3407838499493524,0.1265159420581179,0.066363678900875,0.1767602955417176,2025-10-17T10:06:40.556963
gsr_ecg,lopo,94,3,0.3857699805068226,0.0928126566690713,0.3395691151180448,0.1184535818949404,0.0703541998810834,0.1349925577266272,2025-10-17T10:07:18.011761
pose_perf_eye,lopo,318,3,0.6544883626278977,0.1010790738152467,0.6240227440507965,0.1292937451446669,0.4776444040310195,0.1633620391849266,2025-10-17T10:08:27.671310
pose_perf_gsr,lopo,313,3,0.6506228956228955,0.1158258080171392,0.6148240234330291,0.1387323351005595,0.474970135686881,0.1717281480217821,2025-10-17T10:09:28.752194
pose_perf_ecg,lopo,397,3,0.6152046783625731,0.1536220690231978,0.5777367517630746,0.17215148327423,0.4325461088618983,0.2022738169111722,2025-10-17T10:10:26.465083
pose_eye_gsr,lopo,314,3,0.4130906593406593,0.1248689217948559,0.3446201058006569,0.1336725043315862,0.1119766033510409,0.1865186348485797,2025-10-17T10:11:22.854167
pose_eye_ecg,lopo,398,3,0.3840441235178076,0.1455363109062429,0.3108945347903871,0.1403094403063156,0.079796526408625,0.2001209229813962,2025-10-17T10:12:17.268524
pose_gsr_ecg,lopo,391,3,0.3457558036505405,0.1261851259581075,0.2718671688014966,0.1270665526160201,0.0287620072407566,0.176995931896552,2025-10-17T10:13:15.402892
perf_eye_gsr,lopo,27,3,0.7355753968253967,0.111300269687369,0.7142742220364962,0.1395784095606413,0.5981339980321511,0.1713923419451457,2025-10-17T10:13:44.755627
perf_eye_ecg,lopo,111,3,0.6702616584195532,0.1576898480212877,0.6531501949915365,0.1766565899960887,0.5104993536967024,0.2146756909747215,2025-10-17T10:14:19.421952
perf_gsr_ecg,lopo,104,3,0.6678362573099415,0.1402026097529148,0.6452184911970961,0.1613798747113266,0.5032028846071963,0.1964620022303786,2025-10-17T10:15:08.410572
eye_gsr_ecg,lopo,105,3,0.3850679048047469,0.1147134176158046,0.3335429826141759,0.1220100246426285,0.0606389672991717,0.1632647848235266,2025-10-17T10:15:57.653424
pose_perf_eye_gsr,lopo,324,3,0.6605988918488919,0.1131637084428252,0.6275015800855761,0.1417344674886511,0.4851543643892977,0.1802275250069507,2025-10-17T10:17:10.244674
pose_perf_eye_ecg,lopo,408,3,0.6263366750208855,0.1535906673811683,0.5913164427547278,0.1712550657837178,0.442826178649377,0.2125495364559314,2025-10-17T10:18:09.728620
pose_perf_gsr_ecg,lopo,401,3,0.6126705653021441,0.1636613291058085,0.5717709010036001,0.1829344070778682,0.4262871361032989,0.2109728999075053,2025-10-17T10:19:11.992173
pose_eye_gsr_ecg,lopo,402,3,0.3878852142010037,0.1468123681969188,0.3186663289955917,0.1448945046220278,0.0828948146325606,0.2081191932384081,2025-10-17T10:20:10.694294
perf_eye_gsr_ecg,lopo,115,3,0.6629227984491142,0.1536323911264404,0.6448373211443067,0.1703252998565957,0.4960757560370153,0.211180637110052,2025-10-17T10:20:44.652957
all_modalities,lopo,412,3,0.6209508814771972,0.1578661581923184,0.5855899524253556,0.177265998029649,0.4334717986635986,0.21324023632017391,2025-10-17T10:21:40.344848
