experiment_name,split_strategy,n_features,n_seeds,test_bal_acc_mean,test_bal_acc_std,test_f1_mean,test_f1_std,test_kappa_mean,test_kappa_std,timestamp
pose,participant,290,3,0.3616498602079603,0.0257660273531442,0.3522240128505722,0.0190369007486093,0.0425950919976881,0.0388038261992366,2025-10-17T09:54:27.747491
performance,participant,2,3,0.7138888888888889,0.0320348960963078,0.7108134708590037,0.0348490908276017,0.5708333333333333,0.0480523441444616,2025-10-17T09:54:28.461916
eye,participant,6,3,0.4125748109925558,0.0116588863795782,0.4063952433045799,0.0195997985131936,0.1191761272035777,0.017525170524846,2025-10-17T09:54:29.186295
gsr,participant,-3,3,0.3692442442442443,0.0218892879672798,0.3615223471091169,0.0259924530164815,0.0532666824133628,0.0334321209105532,2025-10-17T09:54:29.891688
ecg,participant,81,3,0.3555555555555555,0.0176754424216826,0.340961316763358,0.0245049821347605,0.0333333333333333,0.0265131636325239,2025-10-17T09:54:30.779685
pose_perf,participant,302,3,0.6268518518518519,0.0264010693136727,0.6139725240119048,0.0361553187723386,0.4402777777777777,0.039601603970509,2025-10-17T09:54:32.144929
pose_eye,participant,306,3,0.3755958876679803,0.0289663958885679,0.3519681550009226,0.0308995454596274,0.0614676216341992,0.0416228867241677,2025-10-17T09:54:33.488949
pose_gsr,participant,297,3,0.3885454419937178,0.032881562404801,0.3781560228401477,0.0296585931663174,0.0817677708626875,0.048015463488508,2025-10-17T09:54:34.804596
pose_ecg,participant,381,3,0.402944103934203,0.0086658287909921,0.3761154539566405,0.0084627934327758,0.1042732998838271,0.0131683902692943,2025-10-17T09:54:36.138835
perf_eye,participant,16,3,0.6933917505756,0.0431635044742057,0.690362606372835,0.0405140495307719,0.5400378559147829,0.0650029774558803,2025-10-17T09:54:36.871895
perf_gsr,participant,9,3,0.7521400711055884,0.0172240041156696,0.7498161802902924,0.0216465818885174,0.6272150785326579,0.0288704698216789,2025-10-17T09:54:37.594374
perf_ecg,participant,93,3,0.6666666666666666,0.0158730158730158,0.6654462809820535,0.0165953385899472,0.5,0.0238095238095238,2025-10-17T09:54:38.456883
eye_gsr,participant,13,3,0.4111835258395577,0.0012136367831289,0.3986967013711439,0.0026397905450107,0.1155345825930406,0.0025667520153898,2025-10-17T09:54:39.196117
eye_ecg,participant,97,3,0.4111638928477847,0.0523091465222156,0.390856472156614,0.047331823246189,0.1136314109832509,0.0734536913814681,2025-10-17T09:54:40.057519
gsr_ecg,participant,85,3,0.4035449735449735,0.021031795946831,0.4023455246376327,0.0220024470532953,0.1052775464231363,0.0329607462297639,2025-10-17T09:54:40.927274
pose_perf_eye,participant,316,3,0.6283752778255082,0.0116212667641772,0.6074043245500605,0.0114056434101721,0.4404928352712312,0.0112921487833972,2025-10-17T09:54:42.263333
pose_perf_gsr,participant,309,3,0.6501078664871768,0.0038985512583274,0.644257385949162,0.006359288201282,0.4750725107077527,0.0025357040839427,2025-10-17T09:54:43.527085
pose_perf_ecg,participant,393,3,0.6064958876840065,0.0147408486273853,0.5873960463234925,0.0222972125770545,0.4098214193173926,0.0222140150553029,2025-10-17T09:54:44.869504
pose_eye_gsr,participant,313,3,0.451019416120664,0.0362084117006991,0.4371747486114063,0.0283123969323381,0.1735895169164839,0.0535283985339701,2025-10-17T09:54:46.081969
pose_eye_ecg,participant,397,3,0.4155968483323696,0.044563946824774,0.367600665764181,0.0428761948459902,0.1176167058068446,0.0611319929741907,2025-10-17T09:54:47.512088
pose_gsr_ecg,participant,385,3,0.4109068049662108,0.0456193954560092,0.3838184974325033,0.0412235774029501,0.1151532093122935,0.069601121948438,2025-10-17T09:54:48.991833
perf_eye_gsr,participant,23,3,0.7236762376231899,0.0049494966231789,0.7214878837593729,0.0113911556187356,0.5833906795518224,0.0102706569201672,2025-10-17T09:54:49.754953
perf_eye_ecg,participant,107,3,0.6832013223190615,0.0206613593613283,0.6805141662075758,0.0222816795300032,0.521765528273447,0.0293340667016056,2025-10-17T09:54:50.603670
perf_gsr_ecg,participant,97,3,0.6746031746031745,0.0187140097183358,0.6724769515451533,0.0206725305730819,0.5101572269028145,0.0303639164777875,2025-10-17T09:54:51.467468
eye_gsr_ecg,participant,101,3,0.4077900808405036,0.0523643430487842,0.3890924667377295,0.0560369861370271,0.1083036149650669,0.0740835363514491,2025-10-17T09:54:52.385116
pose_perf_eye_gsr,participant,323,3,0.6793056282424385,0.0174603154074569,0.6740415151310649,0.0132548434358072,0.517551680430522,0.0251468469059484,2025-10-17T09:54:53.660907
pose_perf_eye_ecg,participant,407,3,0.6295726417187755,0.0318305940641122,0.6079993389556069,0.0471754691902088,0.4384756564369108,0.0486754195596503,2025-10-17T09:54:55.009893
pose_perf_gsr_ecg,participant,397,3,0.6230391193881294,0.00141490739591,0.6045744721325551,0.0161817907698799,0.4326334981930933,0.0012121500198177,2025-10-17T09:54:56.371499
pose_eye_gsr_ecg,participant,401,3,0.4149156492161026,0.03571832634109,0.3783909940965575,0.0458226015794467,0.1176940471303221,0.0516737137811275,2025-10-17T09:54:57.701960
perf_eye_gsr_ecg,participant,111,3,0.6719132907375651,0.0281881826825547,0.669236306983843,0.0333969857141459,0.5038172542640771,0.0432002327070967,2025-10-17T09:54:58.551820
all_modalities,participant,411,3,0.6362354886426907,0.03382569345596253,0.6148236778575423,0.05243290209379203,0.4463566778566645,0.05392105215270611,2025-10-17T09:54:59.839351
