Feature,Low_Mean,Low_SD,Mod_Mean,Mod_SD,High_Mean,High_SD,p_L_vs_M,p_L_vs_H,p_M_vs_H
head_rotation_rad_rms,0.06117101056468777,0.033789160289753435,0.06847171291769388,0.053436073073833974,0.06368164319608602,0.03828605409011682,9.29445799213724e-08,0.13658840183584398,0.0008144808742114318
head_rotation_rad_mean,-0.002308385097021892,0.056240364362960045,0.00019766840884377114,0.05582987479855092,0.0019934980707462966,0.05411377716567152,0.10852316984652688,0.0016242759821120112,0.31926974713314415
head_rotation_rad_std,0.035983966953512095,0.020598200902681586,0.04456656852531481,0.04944522404772372,0.041427602999294905,0.02958398826320198,4.338096548650583e-11,1.5255338771780202e-05,0.022950226097239512
head_tx_rms,0.6433472548944622,0.8811919771794783,0.6223176318937468,0.4457818514525428,0.6567394723075638,0.5237464119269123,0.7407789717415412,0.8856944933130024,0.4495186383518275
head_tx_mean,-0.01797602027036119,0.5046267242430486,0.05754041776250235,0.48834762076946725,0.031624154953731026,0.5243599391047014,1.3952647259785067e-08,0.00034475720367421747,0.10844718087399852
head_tx_std,0.4155126806998095,0.8735803517332928,0.4199720488430612,0.4100715797310181,0.42846763287497847,0.4978294817153933,0.9858163464795758,0.8868187665708993,0.9496420711041751
head_ty_rms,1.2857527246436777,0.7627074392997297,1.2883454808454846,0.7782922315897917,1.3047940278971415,0.7905855348990897,0.9802598955274421,0.3440265263633032,0.45061553818528666
head_ty_mean,-0.1697527064867148,1.3993783168448233,-0.2684062578954314,1.3980980727441439,-0.28164047981969176,1.3981768010516153,4.1646797122041335e-11,3.9772074522659295e-11,0.5797016398831731
head_ty_std,0.4226150758469261,0.2670961185285867,0.4360238640529633,0.2253718896511643,0.4454152519980353,0.32160804943519306,0.3679242318295446,0.05727730746855908,0.6126597437491388
head_scalex_rms,18.472588138973347,3.5211022622530295,18.277765774030392,2.948204480564401,18.238214765221837,2.9491359932560215,0.012120523843550224,0.0017943097578264622,0.831630311790592
head_scalex_mean,18.334216150198234,3.0254032445850068,18.25846175034843,2.947390768909901,18.192341980860608,2.939282167235614,0.21599907490816173,0.005086012175462229,0.31179110591266535
head_scalex_std,0.9646295912085291,2.7230397939324376,0.7580225799529522,0.3698501024008212,0.9004439577170918,0.963159798990855,0.03663155152446951,0.724686320200705,0.2065747539412478
head_scaley_rms,18.53371857381782,3.236847888093717,18.51349244152627,3.1574959450279643,18.426383390703126,3.1960176862652196,0.9138978359159833,0.0819149135144307,0.19135896154288967
head_scaley_mean,18.481872659951947,3.1696410182231602,18.494649598491417,3.1532843458270015,18.370620835588774,3.129722709822087,0.9601051316919399,0.04789227420108855,0.0231358287519704
head_scaley_std,0.8499852498326399,1.2762501742300585,0.771442727420221,0.35885460868452457,0.9447291163296556,1.2589337101819629,0.22311047227716807,0.11420744900435809,0.0008014404341538661
head_motion_mag_rms,2.9129121037286057,2.634094865642694,2.7640983674076613,1.2382785107883847,2.773687596219001,1.4009493627100598,0.1110779543109689,0.14670550704881702,0.9908634040403935
head_motion_mag_mean,2.6626834617432675,1.20581663490761,2.678767457708667,1.2206065985825076,2.6245010330963088,1.2074466445226577,0.8347061637508768,0.36374548336686385,0.13079178073478104
head_motion_mag_std,0.7794558418282088,2.504665664200105,0.605857683118022,0.3756003131189,0.6976310684247301,0.9087632799791253,0.05476845317081158,0.5224762143404726,0.44217319820373424
blink_aperture_rms,0.14911151085558041,0.026606602712774877,0.14886893118495698,0.025275976736459444,0.14687494251348124,0.026349003598023786,0.7856054883287352,4.088131611013068e-09,1.8548221358827277e-07
blink_aperture_mean,0.14358671607324824,0.025790511473552317,0.1429502927767109,0.024215590498659102,0.1405653907937855,0.02532153947527605,0.2468737760550569,3.93414190114072e-11,7.992246864318986e-09
blink_aperture_std,0.03928974290109202,0.010760036831455688,0.040659555645452594,0.011250272400518608,0.04149945784048617,0.01202640429363973,2.404233842345782e-06,3.950251237228031e-11,0.006958852073013833
